Preferred Semantics - Highest cardinality,Categoriser - Highest cardinality,Grounded Semantics - Highest cardinality,GroundTruth
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.333333333,3.333333333,3.333333333,0
3.5,3.5,3.5,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
2.0,2.0,2.0,0
2.0,2.0,2.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
6.0,6.0,6.0,0
3.666666666,3.666666666,3.666666666,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
1.333333333,1.333333333,1.333333333,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
1.666666666,1.666666666,1.666666666,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
4.0,4.0,4.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.333333333,3.333333333,3.333333333,0
7.0,7.0,7.0,0
2.0,2.0,2.0,0
2.333333333,2.333333333,2.333333333,0
2.333333333,2.333333333,2.333333333,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
4.0,4.0,4.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,1.5,3.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.666666666,1.666666666,1.666666666,0
2.0,2.0,2.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
3.0,3.0,3.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
1.5,1.5,1.5,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
0.5,0.5,0.5,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
1.333333333,1.333333333,1.333333333,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.333333333,2.333333333,2.333333333,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
3.0,3.0,3.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
5.0,5.0,5.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
1.666666666,1.666666666,1.666666666,0
2.0,2.0,2.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.333333333,1.333333333,1.333333333,0
1.666666666,1.666666666,1.666666666,0
4.0,4.0,4.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
4.0,4.0,4.0,0
1.333333333,1.333333333,1.333333333,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
4.0,4.0,4.0,0
6.0,6.0,6.0,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.333333333,3.333333333,3.333333333,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
2.0,2.0,2.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.333333333,1.333333333,1.333333333,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
3.0,3.0,3.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
6.0,6.0,6.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
3.5,3.5,3.5,0
3.5,3.5,3.5,0
2.0,2.0,2.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
4.0,4.0,4.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
3.5,3.5,3.5,0
2.0,2.0,2.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
1.0,1.0,1.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.5,0.5,0.5,0
2.0,2.0,2.0,0
3.333333333,3.333333333,3.333333333,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
1.5,1.5,1.5,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
2.0,2.0,2.0,0
0.5,0.5,0.5,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.333333333,1.333333333,1.333333333,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
4.333333333,4.333333333,4.333333333,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
1.666666666,1.666666666,1.666666666,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
7.0,7.0,7.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.333333333,1.333333333,1.333333333,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
5.0,5.0,5.0,0
0.5,0.5,0.5,0
0.5,0.5,0.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
2.0,2.0,2.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.5,0.5,0.5,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
3.5,3.5,3.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
4.0,4.0,4.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
4.0,4.0,4.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.333333333,1.333333333,1.333333333,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.5,2.5,2.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
4.0,4.0,4.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
5.0,5.0,5.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
1.5,1.5,1.5,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
5.0,5.0,5.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
3.0,3.0,3.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
2.0,2.0,2.0,0
3.0,3.0,3.0,0
2.5,2.5,2.5,0
0.0,0.0,0.0,0
